no;state;year;dpd_1;dpd_2;dpd;dpd_3;dpd_4
1;ALABAMA;1970;15032.67;35793.8;28418;1010.5;4.7
2;ALABAMA;1971;15501.94;37299.91;29375;1021.9;5.2
3;ALABAMA;1972;15972.41;38670.3;31303;1072.3;4.7
4;ALABAMA;1973;16406.26;40084.01;33430;1135.5;3.9
5;ALABAMA;1974;16762.67;42057.31;33749;1169.8;5.5
6;ALABAMA;1975;17316.26;43971.71;33604;1155.4;7.7
7;ALABAMA;1976;17732.86;50221.57;35764;1207;6.8
8;ALABAMA;1977;18111.93;51084.99;37463;1269.2;7.4
9;ALABAMA;1978;18479.74;52604.05;39964;1336.5;6.3
10;ALABAMA;1979;18881.49;54525.86;40979;1362;7.1
11;ALABAMA;1980;19012.34;56589.16;40380;1356.1;8.8
12;ALABAMA;1981;19118.52;56481.93;41105;1347.6;11
13;ALABAMA;1982;19118.25;58021.69;40328;1312.5;14
14;ALABAMA;1983;19122;58893.97;42245;1328.8;14
15;ALABAMA;1984;19257.47;59446.86;45118;1387.7;11
16;ALABAMA;1985;19433.36;60688.04;46849;1427.1;8.9
17;ALABAMA;1986;19723.37;61628.88;48409;1463.3;9.8
18;ARIZONA;1970;10148.42;23585.99;19288;547.4;4.4
19;ARIZONA;1971;10560.54;24924.82;21040;581.4;4.7
20;ARIZONA;1972;10977.53;26058.65;23289;646.3;4.2
21;ARIZONA;1973;11598.26;27304.64;25244;714.5;4.1
22;ARIZONA;1974;12129.06;28829.44;25698;746;5.6
23;ARIZONA;1975;12929.06;30243.29;24915;729.1;12
24;ARIZONA;1976;13603.89;29384.15;26041;758.7;9.8
25;ARIZONA;1977;14175.42;30072.6;28110;809.3;8.2
26;ARIZONA;1978;14812.04;31139.49;31062;895.4;6.1
27;ARIZONA;1979;15547.62;32377.41;33943;979.9;5.1
28;ARIZONA;1980;16344.9;33769.92;34708;1014;6.7
29;ARIZONA;1981;17088.3;36387.15;35244;1040.8;6.1
30;ARIZONA;1982;17650.57;37332.09;33603;1029.8;9.9
31;ARIZONA;1983;18108.24;37829.83;35963;1077.8;9.1
32;ARIZONA;1984;18792.09;38330.02;40010;1181.9;5
33;ARIZONA;1985;19414.85;39246.83;43350;1278.6;6.5
34;ARIZONA;1986;20212.42;44189.19;46058;1337.8;6.9
35;ARKANSAS;1970;7613.26;19749.63;15392;536.2;5
36;ARKANSAS;1971;7982.03;20636.47;16177;551;5.4
37;ARKANSAS;1972;8309.01;21245.48;17702;581.5;4.6
38;ARKANSAS;1973;8399.59;21654.02;18825;614.5;4.1
39;ARKANSAS;1974;8512.05;22635.84;19287;640.7;4.8
40;ARKANSAS;1975;8651.26;23519.27;19024;623.8;9.5
41;ARKANSAS;1976;8921.91;26158.59;20277;660;7.1
42;ARKANSAS;1977;9234.85;26716.93;21410;695.6;6.6
43;ARKANSAS;1978;9374.54;27428.45;23063;732.7;6.4
44;ARKANSAS;1979;9554.83;28394.22;23501;749.4;6.2
45;ARKANSAS;1980;9705.24;29476.51;23210;742.3;7.6
46;ARKANSAS;1981;9872.87;31235.95;24134;740.1;9.1
47;ARKANSAS;1982;9919.35;32008.74;23462;720.1;9.8
48;ARKANSAS;1983;9861.76;32385.62;24415;741.3;10
49;ARKANSAS;1984;9754.55;32625.51;26512;780.2;8.9
50;ARKANSAS;1985;9675.47;33229.46;27159;797.1;8.7
51;ARKANSAS;1986;9787.2;32889.3;28168;813.8;8.7
52;CALIFORNIA;1970;128545.36;172791.92;263933;6946.2;7.2
53;CALIFORNIA;1971;132263.33;180864.28;265600;6917;8.8
54;CALIFORNIA;1972;134451.52;187587.86;281159;7209.9;7.6
55;CALIFORNIA;1973;135988.4;193535.82;293735;7621.9;7
56;CALIFORNIA;1974;136827.29;204096.43;298408;7834.3;7.7
57;CALIFORNIA;1975;138487.39;213216.84;304518;7847.2;9.9
58;CALIFORNIA;1976;139514.18;221958.93;320160;8154.2;9.2
59;CALIFORNIA;1977;139910.22;226544.27;338040;8599.7;8.2
60;CALIFORNIA;1978;139408.84;233936.43;359603;9199.8;7.1
61;CALIFORNIA;1979;140217.32;243776.26;374928;9664.6;6.2
62;CALIFORNIA;1980;139776.97;255305.95;380221;9848.8;6.8
63;CALIFORNIA;1981;139662.44;286402.55;378436;9985.3;7.4
64;CALIFORNIA;1982;139232.39;297844.03;372541;9810.3;9.9
65;CALIFORNIA;1983;138535.66;305210.16;390528;9965.8;9.7
66;CALIFORNIA;1984;138101.55;312008.57;420525;10574;7.8
67;CALIFORNIA;1985;138170.93;324335.15;444082;10979;7.2
68;CALIFORNIA;1986;139042.68;363779.7;464550;11258;6.7
69;COLORADO;1970;11402.52;23709.75;25689;750.2;4.4
70;COLORADO;1971;11682.06;25186.8;27341;787;4
71;COLORADO;1972;12010.91;26010.17;29624;869.4;3.6
72;COLORADO;1973;12473.28;27387.44;32417;936;3.4
73;COLORADO;1974;12964.14;28763.31;33039;959.7;3.8
74;COLORADO;1975;13483.92;29939.43;33593;963.5;6.9
75;COLORADO;1976;14090.24;34680.9;35223;1003.4;5.9
76;COLORADO;1977;14736.89;35116.03;37429;1058.1;6.2
77;COLORADO;1978;15240.49;36213.58;40522;1150;5.6
78;COLORADO;1979;15711.11;37674.72;42917;1218;4.8
79;COLORADO;1980;16272.57;39349.98;43888;1251.1;5.9
80;COLORADO;1981;16692.71;45660.95;44695;1295.2;5.5
81;COLORADO;1982;17027.51;47010.56;45252;1316.6;7.7
82;COLORADO;1983;17388.99;47724.11;46523;1327.2;6.6
83;COLORADO;1984;17785.25;48372.91;49332;1402.3;5.6
84;COLORADO;1985;18327.11;49793.31;50820;1418.7;5.9
85;COLORADO;1986;18889.54;47485.05;51781;1408.3;7.4
86;CONNECTICUT;1970;15865.66;24082.38;38880;1197.5;5.6
87;CONNECTICUT;1971;16559.99;25147.44;38515;1164.3;8.9
88;CONNECTICUT;1972;17346.79;26191.58;40037;1190.4;8.2
89;CONNECTICUT;1973;17803.12;27301.99;42157;1238.7;5.7
90;CONNECTICUT;1974;18225.2;28832.91;41827;1264;6.2
91;CONNECTICUT;1975;18686.78;30306.1;39870;1223.4;9.1
92;CONNECTICUT;1976;18871.06;27628.42;41326;1239.7;9.5
93;CONNECTICUT;1977;18798.54;28268.33;42976;1282.3;7
94;CONNECTICUT;1978;18566.24;29207.04;44844;1346.1;5.3
95;CONNECTICUT;1979;18487.06;30449.45;46008;1398;5.1
96;CONNECTICUT;1980;18385.98;31844.08;45949;1426.8;5.9
97;CONNECTICUT;1981;18271.34;31895.65;47397;1438.7;6.2
98;CONNECTICUT;1982;18030.08;32967.44;47241;1429.8;6.9
99;CONNECTICUT;1983;17739.88;33668.53;50594;1446.5;6
100;CONNECTICUT;1984;17494.36;34439.31;55117;1520.5;4.6
101;CONNECTICUT;1985;17317.13;35816.37;58263;1562.3;4.9
102;CONNECTICUT;1986;17290.61;40413.22;61750;1604.2;3.8
103;DELAWARE;1970;4250.95;6108.14;6863;216.8;4.8
104;DELAWARE;1971;4405.91;6361.22;7399;224.9;5.7
105;DELAWARE;1972;4560.71;6602.65;7829;232.4;4.7
106;DELAWARE;1973;4725.12;6892.09;8604;239.4;4.6
107;DELAWARE;1974;4927.52;7263.84;7777;233.1;6
108;DELAWARE;1975;4988.37;7624.03;7625;229.9;9.7
109;DELAWARE;1976;4959.87;7706.19;8061;236.7;8.9
110;DELAWARE;1977;4958.47;7845.75;8313;238.8;8.4
111;DELAWARE;1978;4954.21;8100.95;8390;247.8;7.5
112;DELAWARE;1979;4936.91;8435.96;8360;256.7;8
113;DELAWARE;1980;4868.74;8811.38;8200;259.2;7.7
114;DELAWARE;1981;4825.97;9049.52;8344;259.2;7.9
115;DELAWARE;1982;4786.37;9327.72;8435;259.2;8.5
116;DELAWARE;1983;4768.17;9486.76;8883;266.1;8.1
117;DELAWARE;1984;4743.86;9630.61;9347;280;6.2
118;DELAWARE;1985;4731.49;9921.23;9699;293.4;5.3
119;DELAWARE;1986;4716.73;10655;10072;303.2;4.3
120;FLORIDA;1970;29696.86;57178.05;69641;2152.1;4.4
121;FLORIDA;1971;30683.09;60238.01;73170;2276.4;4.9
122;FLORIDA;1972;32089.12;62873.97;81313;2513.1;4.5
123;FLORIDA;1973;33480.99;66432.27;90897;2778.6;4.3
124;FLORIDA;1974;34650.29;70452.68;92163;2863.8;6.2
125;FLORIDA;1975;36103.75;73809.64;89502;2746.4;11
126;FLORIDA;1976;37942.61;87196.5;90957;2784.3;9
127;FLORIDA;1977;39393.89;88699.63;95449;2933.2;8.2
128;FLORIDA;1978;40859.4;91517.51;103064;3180.6;6.6
129;FLORIDA;1979;42107.13;95108.5;109121;3381.2;6
130;FLORIDA;1980;43192.98;99248.64;113857;3576.2;5.9
131;FLORIDA;1981;44311.68;108486.86;118145;3736;6.8
132;FLORIDA;1982;45492;111867.96;118301;3761.9;8.2
133;FLORIDA;1983;47116.82;113951.55;126322;3905.4;8.6
134;FLORIDA;1984;48538.98;116417.2;136572;4204.2;6.3
135;FLORIDA;1985;50336.63;120719.68;145171;4410;6
136;FLORIDA;1986;52309.37;135673.02;152269;4599.4;5.7
137;GEORGIA;1970;18270.44;41597.8;43105;1557.5;4.1
138;GEORGIA;1971;19275.62;43732.94;45438;1602.9;3.9
139;GEORGIA;1972;20167.45;45402.82;49402;1695.2;4.1
140;GEORGIA;1973;21015.05;47422.01;52824;1802.5;3.9
141;GEORGIA;1974;21882.27;49969.83;52390;1827.5;5
142;GEORGIA;1975;22713.54;52261.84;50900;1755.7;8.6
143;GEORGIA;1976;23556.37;56287.82;54469;1839.1;8.1
144;GEORGIA;1977;24124.15;56992.14;58085;1926.4;6.9
145;GEORGIA;1978;24622.13;58642.67;61607;2050.1;5.7
146;GEORGIA;1979;25631.2;60866.47;63825;2127.5;5.1
147;GEORGIA;1980;26685.37;63341.08;64216;2159.4;6.4
148;GEORGIA;1981;27546.85;67537.87;66352;2198.6;6.4
149;GEORGIA;1982;28209.03;69347.75;66766;2201.5;7.8
150;GEORGIA;1983;28996.86;70436.24;71485;2279.5;7.5
151;GEORGIA;1984;29702.75;71624.33;78797;2448.7;6
152;GEORGIA;1985;30068.26;73979.66;83461;2569.8;6.5
153;GEORGIA;1986;30991.33;83458.28;88827;2672.4;5.9
154;IDAHO;1970;3410.22;9202.07;7175;207.8;5.8
155;IDAHO;1971;3579.67;9488.47;7255;217.1;6.3
156;IDAHO;1972;3676.22;9756.4;7898;236.5;6.2
157;IDAHO;1973;3737.66;10251.95;8352;251.7;5.6
158;IDAHO;1974;3813.94;10725.66;8970;266.8;6
159;IDAHO;1975;3942.37;11134.59;9099;273;6.2
160;IDAHO;1976;4105.58;12401.79;9709;291;5.7
161;IDAHO;1977;4255.84;12498.22;9967;307.4;6.1
162;IDAHO;1978;4398.05;12813.38;10828;331.3;5.6
163;IDAHO;1979;4522.19;13264.09;10924;338;5.6
164;IDAHO;1980;4605.7;13771.17;11002;330;7.9
165;IDAHO;1981;4667.31;13808.97;10959;327.8;7.5
166;IDAHO;1982;4699.95;14020.3;10432;312.2;9.9
167;IDAHO;1983;4710.03;14028.64;10879;317.9;9.8
168;IDAHO;1984;4769.76;14049.02;11262;330.5;7.2
169;IDAHO;1985;4819.32;14290.67;11815;336;8
170;IDAHO;1986;4890.92;13612.16;11672;328.2;8.7
171;ILLINOIS;1970;52197.49;114860.83;145792;4345.6;4.1
172;ILLINOIS;1971;53805.62;119783.11;148503;4296.4;5.1
173;ILLINOIS;1972;55540.36;124239.59;154413;4314.8;5.1
174;ILLINOIS;1973;57288.3;129514.1;163125;4466.9;4.1
175;ILLINOIS;1974;58984.18;136292.35;161725;4545.7;4.5
176;ILLINOIS;1975;60139.25;142558.62;157366;4418.9;7.1
177;ILLINOIS;1976;61104.4;140831.43;163112;4565.7;6.5
178;ILLINOIS;1977;62200.83;146285.62;168627;4655.5;6.2
179;ILLINOIS;1978;63096.48;150855.46;173767;4788.8;6
180;ILLINOIS;1979;63642.81;156751.98;173817;4880;5.5
181;ILLINOIS;1980;64003.03;163355.48;165722;4850.3;8.3
182;ILLINOIS;1981;64549.3;150688.85;166029;4732.3;8.5
183;ILLINOIS;1982;65064.2;154806.13;159778;4593.3;11
184;ILLINOIS;1983;64751.99;157095.8;160856;4530.6;11
185;ILLINOIS;1984;64460.25;159388;173602;4672.3;9.1
186;ILLINOIS;1985;64487.38;164794.5;178493;4755.3;9
187;ILLINOIS;1986;64726.05;161198.99;183849;4790.7;8.1
188;INDIANA;1970;20813.65;63646.79;56769;1849;5
189;INDIANA;1971;21665.6;65528.57;58540;1841.1;5.7
190;INDIANA;1972;22368.04;67722.97;61613;1921.9;4.5
191;INDIANA;1973;23230.94;70189.83;66534;2028.1;4.2
192;INDIANA;1974;23652.3;73448.9;64313;2031.4;5.9
193;INDIANA;1975;23945.55;76823.26;61200;1941.7;8.6
194;INDIANA;1976;24259.12;74736.15;65479;2023.8;6.1
195;INDIANA;1977;24506.31;77477.95;68832;2114;5.7
196;INDIANA;1978;24639.62;79763.07;71717;2205.5;5.7
197;INDIANA;1979;24744.99;82742.13;72047;2236.3;6.4
198;INDIANA;1980;24799.68;86012.21;67930;2129.5;9.6
199;INDIANA;1981;24976.64;80364.43;68135;2114.4;10
200;INDIANA;1982;25108.79;82361.44;64042;2028;12
201;INDIANA;1983;24983.98;83359.59;65211;2029.5;11
202;INDIANA;1984;24835.6;83946.98;70975;2122.3;8.6
203;INDIANA;1985;24905.94;85849.71;73392;2168.6;7.9
204;INDIANA;1986;24924.85;87053.98;75924;2221.8;6.8
205;IOWA;1970;14728.51;33400.46;29173;876.9;3.7
206;IOWA;1971;15311.03;34819.44;29312;882.7;4.2
207;IOWA;1972;15657.48;35846.9;31159;912.3;3.6
208;IOWA;1973;16006.47;37693.89;33798;961.3;2.9
209;IOWA;1974;16159.2;39460.57;33591;999;3
210;IOWA;1975;16414.32;41068.52;34378;998.7;4.3
211;IOWA;1976;16766.52;43868.88;35752;1036.9;4
212;IOWA;1977;17166.76;46649.69;37277;1079.2;4
213;IOWA;1978;17407.43;47977.54;39087;1119.2;4
214;IOWA;1979;17722.68;49653.76;39863;1131.7;4.1
215;IOWA;1980;17928.92;51530.31;38919;1109.9;5.8
216;IOWA;1981;18050.52;47985.77;40630;1088.6;6.9
217;IOWA;1982;18141.76;48698.55;37634;1041.9;8.5
218;IOWA;1983;18240.5;48731.5;35937;1040.4;8.1
219;IOWA;1984;18203.48;48741.81;38704;1074.7;7
220;IOWA;1985;18288.61;49781.83;39344;1074.2;8
221;IOWA;1986;18436.18;43209.95;40425;1073.8;7
222;KANSAS;1970;11115.57;33207.74;26311;678.8;4.8
223;KANSAS;1971;11595.03;34117.09;26950;677.8;5.5
224;KANSAS;1972;11854.06;34862.71;28330;717.5;4
225;KANSAS;1973;12137.4;36179.12;29486;763.3;3.1
226;KANSAS;1974;12412.46;37588.65;29506;790;3.5
227;KANSAS;1975;12792.34;38828.22;29530;801.2;4.6
228;KANSAS;1976;13023.89;41282.58;30655;834.8;4.2
229;KANSAS;1977;13386.6;41246.04;31032;871;4.1
230;KANSAS;1978;13726.24;42277.86;32232;912.5;3
231;KANSAS;1979;14157.68;43689.61;33680;946.8;3.4
232;KANSAS;1980;14479.94;45281.71;32844;944.7;4.5
233;KANSAS;1981;14855.02;47858.83;33707;949.7;4.2
234;KANSAS;1982;15082.15;49569.38;33287;921.4;6.3
235;KANSAS;1983;15062.88;49688.66;33638;921.6;6.1
236;KANSAS;1984;15116.06;49959.27;35582;960.8;5.2
237;KANSAS;1985;15145.49;51037.85;36560;967.9;5
238;KANSAS;1986;15216.66;51347.26;37783;984.8;5.4
239;KENTUCKY;1970;16035.09;30525.64;32182;910.1;5
240;KENTUCKY;1971;16706.92;31822.72;33276;931.5;5.5
241;KENTUCKY;1972;17169.23;32994.5;35351;988.3;4.8
242;KENTUCKY;1973;17697.13;34039.58;37305;1038.6;4.4
243;KENTUCKY;1974;18263.75;35741.89;37458;1065.9;4.5
244;KENTUCKY;1975;18624.45;37366.28;36717;1057.6;7.3
245;KENTUCKY;1976;18945.26;41587.55;39138;1103.1;5.6
246;KENTUCKY;1977;19294.6;42985.92;41137;1148.3;4.7
247;KENTUCKY;1978;19572.86;44402.66;43098;1209.9;5.2
248;KENTUCKY;1979;19948.68;46082.95;44188;1245.4;5.6
249;KENTUCKY;1980;20585.01;47878.44;42637;1210;8
250;KENTUCKY;1981;21116.39;47983.96;43595;1196;8.4
251;KENTUCKY;1982;21308.34;49141.96;42286;1160.7;11
252;KENTUCKY;1983;21162.34;49720.78;42668;1152.3;12
253;KENTUCKY;1984;21032.34;50066.78;45998;1213.8;9.3
254;KENTUCKY;1985;21052.49;51135.28;46753;1250.3;9.5
255;KENTUCKY;1986;20959.34;51911.38;47502;1274.1;9.3
256;LOUISIANA;1970;19638.31;97802.38;62666;1033.6;6.6
257;LOUISIANA;1971;20066.64;99483.9;64851;1055.9;7
258;LOUISIANA;1972;20887.68;100299.59;67439;1128.6;6.1
259;LOUISIANA;1973;21408.2;101336.45;67100;1176.1;6
260;LOUISIANA;1974;21787.15;103761.88;64919;1220.8;6.7
261;LOUISIANA;1975;22175.86;106564.55;63128;1249.5;7.4
262;LOUISIANA;1976;22682.17;100358.47;66338;1314.4;6.8
263;LOUISIANA;1977;23389.41;102931.73;68209;1364.6;7
264;LOUISIANA;1978;24102.46;106574.97;72221;1463.5;7
265;LOUISIANA;1979;24446.12;111082.3;73681;1517.4;6.7
266;LOUISIANA;1980;24568.45;117127.42;75312;1578.9;6.7
267;LOUISIANA;1981;24789.76;117911.54;77342;1630.5;8.4
268;LOUISIANA;1982;25087;124453.54;75743;1607;10
269;LOUISIANA;1983;25422.96;128610.28;72535;1565.2;12
270;LOUISIANA;1984;25932.73;130129.72;75349;1601.5;10
271;LOUISIANA;1985;26477.79;133300.12;73777;1591.2;12
272;LOUISIANA;1986;26617.47;134624.42;68508;1518.5;13
273;MAINE;1970;3868.87;9305.13;8844;332.2;5.7
274;MAINE;1971;3999.86;9582.6;8958;332.3;7.6
275;MAINE;1972;4167.61;9906.21;9449;343.7;7
276;MAINE;1973;4272.26;10255.45;9949;354.8;5.9
277;MAINE;1974;4394.33;10747.95;9976;361.5;6.7
